Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
63424331,12/17/2024 01:40:29 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11217,63 STERLING PLACE,STERLING PLACE,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,STERLING PLACE,,In Progress,,,12/17/2024 02:03:47 AM,06 BROOKLYN,3009410030,BROOKLYN,990698,186399,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67829660850613,-73.97675316505486,"(40.67829660850613, -73.97675316505486)"
63416835,12/17/2024 01:16:19 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,180 TROY AVENUE,TROY AVENUE,PROSPECT PLACE,PARK PLACE,PROSPECT PLACE,PARK PLACE,ADDRESS,BROOKLYN,TROY AVENUE,,In Progress,,,12/17/2024 02:06:43 AM,08 BROOKLYN,3013520080,BROOKLYN,1001920,184582,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.673294066859235,-73.93629950461332,"(40.673294066859235, -73.93629950461332)"
63417457,12/17/2024 01:02:51 AM,12/17/2024 01:36:05 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11234,978 EAST   53 STREET,EAST   53 STREET,GLENWOOD ROAD,AVENUE H,GLENWOOD ROAD,AVENUE H,ADDRESS,BROOKLYN,EAST   53 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:36:12 AM,18 BROOKLYN,3077360048,BROOKLYN,1004878,170638,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63501444842318,-73.92567854486404,"(40.63501444842318, -73.92567854486404)"
63418764,12/17/2024 01:01:46 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237,4 IRVING AVENUE,IRVING AVENUE,FLUSHING AVENUE,JEFFERSON STREET,FLUSHING AVENUE,JEFFERSON STREET,ADDRESS,BROOKLYN,IRVING AVENUE,,In Progress,,,12/17/2024 02:43:38 AM,04 BROOKLYN,3031660031,BROOKLYN,1004786,196346,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.7055773447715,-73.92593169619619,"(40.7055773447715, -73.92593169619619)"
63415673,12/17/2024 12:46:00 AM,12/17/2024 01:47:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11229,2902 AVENUE W,AVENUE W,EAST   29 STREET,NOSTRAND AVENUE,EAST   29 STREET,NOSTRAND AVENUE,ADDRESS,BROOKLYN,AVENUE W,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:47:07 AM,15 BROOKLYN,3074050905,BROOKLYN,1000408,156357,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59582534901355,-73.94181785868619,"(40.59582534901355, -73.94181785868619)"
63424421,12/17/2024 12:44:51 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11212,181 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,WINTHROP STREET,CLARKSON AVENUE,WINTHROP STREET,CLARKSON AVENUE,ADDRESS,BROOKLYN,ROCKAWAY PARKWAY,,In Progress,,,12/17/2024 02:05:17 AM,17 BROOKLYN,3046330065,BROOKLYN,1006045,180586,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66231674694474,-73.92144177201318,"(40.66231674694474, -73.92144177201318)"
63419028,12/17/2024 12:41:54 AM,12/17/2024 12:56:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11217,661 SACKETT STREET,SACKETT STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,SACKETT STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/17/2024 12:56:49 AM,06 BROOKLYN,3009490001,BROOKLYN,989238,186224,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67781721617921,-73.98201700083251,"(40.67781721617921, -73.98201700083251)"
63428824,12/17/2024 12:41:25 AM,12/17/2024 01:07:57 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,1760 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:08:00 AM,09 BROOKLYN,3014030025,BROOKLYN,1003773,182555,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.667726514487654,-73.92962529775419,"(40.667726514487654, -73.92962529775419)"
63423179,12/17/2024 12:40:52 AM,12/17/2024 01:07:58 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,1760 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:08:02 AM,09 BROOKLYN,3014030025,BROOKLYN,1003773,182555,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.667726514487654,-73.92962529775419,"(40.667726514487654, -73.92962529775419)"
63415718,12/17/2024 12:39:58 AM,12/17/2024 01:07:58 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,1760 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:08:02 AM,09 BROOKLYN,3014030025,BROOKLYN,1003773,182555,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.667726514487654,-73.92962529775419,"(40.667726514487654, -73.92962529775419)"
